iteration,costFunction,trainingRmse,cvRmse
0,1.8598351973125324,1.9255249904279574,1.9318219324734294
50,0.33246491139724665,0.8047003636973825,0.9450626908505375
100,0.29411409272574973,0.7547525027079319,0.9827706513589605
150,0.27213045805165403,0.7245618652412084,1.009260346307977
200,0.25937276403659559,0.7064220543714939,1.0241498719580449
250,0.25148338285244404,0.6949419132035969,1.0338349753019065
300,0.24655566720856023,0.6876441064465949,1.041302937200189
350,0.24268934910359469,0.6818713326860399,1.046406587301893
400,0.23976398726380252,0.6774644198135038,1.052898032728743
450,0.23761948365137914,0.674204434818395,1.0579431156044499
500,0.23592535648585722,0.6716077125800932,1.0620533798998826
550,0.23437618275882785,0.6692337924412355,1.0668494579671017
600,0.23337201173171188,0.6676676688203852,1.0704360235663635
650,0.23232817364033692,0.6660563202016213,1.075195653576572
700,0.2312572296795973,0.6644025729260806,1.0794940765065486
750,0.23055857577593258,0.6633086181185108,1.082943596894914
800,0.22986031915288349,0.6622223889290104,1.0870105972396809
850,0.22956920063378933,0.6617474783750306,1.0895985966635264
900,0.22869584894564923,0.6604006109334705,1.0932525947097926
950,0.2283362089652195,0.6598301856945145,1.095723104600365
1000,0.22783154768708133,0.6590394489592307,1.0984984376401679
1050,0.227699372784299,0.6588193566104634,1.1014891709833272
1100,0.22701315549272019,0.6577532764824197,1.1034716452942972
1150,0.22702241002928428,0.6577437467979853,1.1057920103180992
1200,0.22632187209975613,0.6566581723050823,1.107737221139838
1250,0.22601545473284129,0.656178809817525,1.109011632117939
1300,0.22572422293092004,0.6557135300088269,1.1113945371608702
1350,0.22556477688582116,0.6554518806403761,1.1130508875384852
1400,0.22528140244552611,0.655004976402668,1.1146602976021311
1450,0.22485798524230446,0.654346279764182,1.1163671122067025
1500,0.22467449505040124,0.6540483864594505,1.1175231106099026
